Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
GRC,0.9659333432937345,-0.07177847940329582,-1.0590012457824427,1.2288163400880014,0.09395639154323732,-4.714601873735413,0.0
GRD,-0.8947166393122652,-0.368690532603411,-14.887984202691873,-3.0602867115922416,-0.14188500677798643,1.9823050863416292,0.0
GRL,-1.6363130357539002,0.2226640058242802,0.39131258569466976,-1.7438099326132162,-0.1558311498632725,-4.621800158059763,0.0
GTM,-0.09848143470675419,-0.5523502410552535,-2.6776510328885617,-1.1609312919314885,-0.05551917270329998,-0.6636032758438049,0.0
GUY,-18.477547153344688,5.076939790663617,-3.719538806088718,-24.2217469707956,-1.8202764000497362,-4.074003911233593,0.0
HKG,3.6221332781777305,-0.45499838046280705,-2.8987828328666088,2.5631511409736074,0.374431253813734,-5.441073303305622,0.0
HND,-0.790766008095134,-0.5003790157953003,-4.499278051196964,-2.78269840098746,-0.2791358323567139,0.1966808826223687,0.0
HRV,1.1338623442474827,-0.17496343932712474,-2.3404348741917214,0.6699858901808797,0.05953550538879693,-4.512539651938319,0.0
HTI,-0.2059712480955489,-0.363267072014257,-3.7908320779767024,-1.3543542316762136,-0.04288902504286929,0.18874857250406052,0.0
HUN,-0.4659235882327861,5.308075061315274,-0.34603571891486107,-0.3423349260875397,-0.0657390079534137,-4.743769007480236,0.0
IDN,-0.7036872482302337,4.985253505012617,-2.486429124403655,-3.5652261378917527,-0.11543654012643456,-5.725005398829952,0.0
IND,0.24865900816266606,3.3876707348721724,-6.634543102861768,-1.8213035600230576,-0.040711770097145994,-5.159310560411456,0.0
IRL,-2.9662786583129486,3.943155885973668,-4.160279910259934,-8.875173602179808,-0.5037361817260555,-4.345764603169466,0.0
IRN,0.31925673186059544,-0.4308599766508712,-2.237799678447727,1.566918745192547,0.02949759908914551,-4.906993626413381,0.0
IRQ,-2.2670182175666964,3.6031820910202796,-1.844552959015,-4.387794513411869,-0.3026773294971363,-5.559369291251426,0.0
ISL,0.4459551310979526,-1.3037828221476633,0.03895232310460184,0.6428668170980201,0.04391596081050331,-3.9427097474891926,0.0
ISR,0.040623795041350164,3.7585910002232574,-5.786859398706257,-2.649822170928462,-0.062284093202880086,-4.40416284393571,0.0
ITA,-0.1940210661402042,37.36030454808702,-1.7569140594520083,-1.2094912101398347,-0.06594552325971392,-4.674392719764975,0.0
JAM,-0.3489905932487103,-0.4421721109811953,-7.862297416133179,-1.7574963373647612,-0.12114881268113775,-0.11437971121268653,0.0
JOR,1.222572513995046,0.811501094465968,-6.1689341131866975,-0.05677828375718619,-0.030464712786471004,-4.922942806280373,0.0
JPN,-0.2913661653044741,46.581948279165914,-6.434531151374001,-4.385687062543209,-0.12431129475042324,-5.246899391596804,0.0
KAZ,-0.7069466403779701,1.3038892978410388,0.762626895254459,-0.2816810578468498,-0.028592920712966485,-5.141176157226091,0.0
